"FullName","Length"
"E:\JAWALE\ACDC\1979 - Highway to Hell\AC,DC - Highway to Hell.log","12340"
"E:\JAWALE\ACDC\1979 - Highway to Hell\ACDC - Highway to Hell - 01 - Highway to Hell.flac","27655516"
"E:\JAWALE\ACDC\1979 - Highway to Hell\ACDC - Highway to Hell - 02 - Girls Got Rhythm.flac","28061705"
"E:\JAWALE\ACDC\1979 - Highway to Hell\ACDC - Highway to Hell - 03 - Walk All over You.flac","40621282"
"E:\JAWALE\ACDC\1979 - Highway to Hell\ACDC - Highway to Hell - 04 - Touch Too Much.flac","36776949"
"E:\JAWALE\ACDC\1979 - Highway to Hell\ACDC - Highway to Hell - 05 - Beating Around the Bush.flac","30013348"
"E:\JAWALE\ACDC\1979 - Highway to Hell\ACDC - Highway to Hell - 06 - Shot down in Flames.flac","27541569"
"E:\JAWALE\ACDC\1979 - Highway to Hell\ACDC - Highway to Hell - 07 - Get It Hot.flac","20550408"
"E:\JAWALE\ACDC\1979 - Highway to Hell\ACDC - Highway to Hell - 08 - If You Want Blood (~.flac","35255290"
"E:\JAWALE\ACDC\1979 - Highway to Hell\ACDC - Highway to Hell - 09 - Love Hungry Man.flac","33643266"
"E:\JAWALE\ACDC\1979 - Highway to Hell\ACDC - Highway to Hell - 10 - Night Prowler.flac","49923927"
"E:\JAWALE\ACDC\1979 - Highway to Hell\cover.jpg","85742"
"E:\JAWALE\ACDC\1979 - Highway to Hell\foo_dr.txt","1396"
"E:\JAWALE\Acid Drinkers\1990 - Are You Rebel\Acid Drinkers - Are You a Rebel - 01 - Del Rocca.flac","21492193"
"E:\JAWALE\Acid Drinkers\1990 - Are You Rebel\Acid Drinkers - Are You a Rebel - 02 - Barmy Army.flac","39900366"
"E:\JAWALE\Acid Drinkers\1990 - Are You Rebel\Acid Drinkers - Are You a Rebel - 03 - I Mean Acid (Do Ya~.flac","34700202"
"E:\JAWALE\Acid Drinkers\1990 - Are You Rebel\Acid Drinkers - Are You a Rebel - 04 - Waiting for the Hair.flac","27864057"
